"Single Select Text","Single Select Text"
"Multiple Select Text","Multiple Select Text"
"Swatches","Swatches"
"Use attribute code","Use attribute code"
"Same for all stores","Same for all stores"
"Use attribute label","Use attribute label"
"Use store-level attribute label / Same for all store","Use store-level attribute label / Same for all store"
"Use attribute position","Use attribute position"
"Use store configuration","Use store configuration"
"Use attribute's 'Use In Layered Navigation'","Use attribute's 'Use In Layered Navigation'"
"Use attribute's 'Use in Search Layered Navigation'","Use attribute's 'Use in Search Layered Navigation'"
"Use store configuration","Use store configuration"
"Filter parameter name should be unique.","Filter parameter name should be unique."
"Category","Category"
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Remove","Remove"
"Remove This Item","Remove This Item"
"item","item"
"items","items"
"Detailed Logs for Troubleshooting","Detailed Logs for Troubleshooting"
"Layered Navigation Index Queries","Layered Navigation Index Queries"
"Filter Settings","Filter Settings"
"(MANAdev) Based on product attribute changes, recalculates layered navigation filter settings","(MANAdev) Based on product attribute changes, recalculates layered navigation filter settings"
"",""
"",""
"",""
