id,title,description,link,price,unit_pricing_measure,brand,mpn,condition,image_link,google_product_category,product_type,availability,shipping_weight,shipping,gtin,identifier_exists
12603,"Kraus Severn II EuroTile Collection: Portico 19.7"" x 19.7"" Carpet Tile 7242 02","Kraus Severn II EuroTile Collection: Portico 19.7"" x 19.7"" Carpet Tile 7242 02",http://23.251.155.152/kraus-severn-ii-eurotile-collection-portico-19-7-x-19-7-carpet-tile-7242-02/kraus/catalog_12603.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7242 02",New,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/12603.jpg,2826,7,"Out of Stock",,,,
59921,"Kraus Danube EuroTile Collection: Brown 19.7"" x 19.7"" Carpet Tile 7041 01","Kraus Danube EuroTile Collection: Brown 19.7"" x 19.7"" Carpet Tile 7041 01",http://23.251.155.152/kraus-danube-eurotile-collection-brown-19-7-x-19-7-carpet-tile-7041-01/carpet-tile/kraus/catalog_59921.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7041 01",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59921.jpg,2826,7,"Out of Stock",,,,
12604,"Kraus Severn II EuroTile Collection: Quarry 19.7"" x 19.7"" Carpet Tile 7242 05","Kraus Severn II EuroTile Collection: Quarry 19.7"" x 19.7"" Carpet Tile 7242 05",http://23.251.155.152/kraus-severn-ii-eurotile-collection-quarry-19-7-x-19-7-carpet-tile-7242-05/kraus/catalog_12604.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7242 05",New,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/12604.jpg,2826,7,"Out of Stock",,,,
59923,"Kraus Severn EuroTile Collection: Pewter 19.7"" x 19.7"" Carpet Tile 7194 04","Kraus Severn EuroTile Collection: Pewter 19.7"" x 19.7"" Carpet Tile 7194 04",http://23.251.155.152/kraus-severn-eurotile-collection-pewter-19-7-x-19-7-carpet-tile-7194-04/kraus/catalog_59923.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7194 04",New,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/59923.jpg,2826,7,"Out of Stock",,,,
59918,"Kraus Danube EuroTile Collection: Silver 19.7"" x 19.7"" Carpet Tile 7041 04","Kraus Danube EuroTile Collection: Silver 19.7"" x 19.7"" Carpet Tile 7041 04",http://23.251.155.152/kraus-danube-eurotile-collection-silver-19-7-x-19-7-carpet-tile-7041-04/kraus/catalog_59918.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7041 04",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59918.jpg,2826,7,"Out of Stock",,,,
59924,"Kraus Severn EuroTile Collection: Quarry 19.7"" x 19.7"" Carpet Tile 7194 05","Kraus Severn EuroTile Collection: Quarry 19.7"" x 19.7"" Carpet Tile 7194 05",http://23.251.155.152/kraus-severn-eurotile-collection-quarry-19-7-x-19-7-carpet-tile-7194-05/kraus/catalog_59924.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7194 05",New,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/59924.jpg,2826,7,"Out of Stock",,,,
59919,"Kraus Severn EuroTile Collection: Portico 19.7"" x 19.7"" Carpet Tile 7194 02","Kraus Severn EuroTile Collection: Portico 19.7"" x 19.7"" Carpet Tile 7194 02",http://23.251.155.152/catalog/product/view/id/107/s/kraus-severn-eurotile-collection-portico-19-7-x-19-7-carpet-tile-7194-02-kraus-catalog-59919-htm/?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7194 02",New,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/59919.jpg,2826,7,"Out of Stock",,,,
59925,"Kraus Severn EuroTile Collection: Blue Mist 19.7"" x 19.7"" Carpet Tile 7194 08","Kraus Severn EuroTile Collection: Blue Mist 19.7"" x 19.7"" Carpet Tile 7194 08",http://23.251.155.152/kraus-severn-eurotile-collection-blue-mist-19-7-x-19-7-carpet-tile-7194-08/kraus/catalog_59925.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7194 08",New,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/59925.jpg,2826,7,"Out of Stock",,,,
59920,"Kraus Danube EuroTile Collection: Charcoal 19.7"" x 19.7"" Carpet Tile 7041 02","Kraus Danube EuroTile Collection: Charcoal 19.7"" x 19.7"" Carpet Tile 7041 02",http://23.251.155.152/kraus-danube-eurotile-collection-charcoal-19-7-x-19-7-carpet-tile-7041-02/kraus/catalog_59920.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7041 02",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59920.jpg,2826,7,"Out of Stock",,,,
59928,"Kraus Trent EuroTile Collection: Old Silver 19.7"" x 19.7"" Carpet Tile 7193 04","Kraus Trent EuroTile Collection: Old Silver 19.7"" x 19.7"" Carpet Tile 7193 04",http://23.251.155.152/kraus-trent-eurotile-collection-old-silver-19-7-x-19-7-carpet-tile-7193-04/carpet-tile/kraus/catalog_59928.htm?SID=3kl4c96rn2pdoaeb9d1d8vrpk4,1.7900,"1 sq ft",Kraus,"7193 04",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59928.jpg,2826,7,"Out of Stock",,,,
