id,title,description,link,price,unit_pricing_measure,brand,mpn,condition,image_link,google_product_category,product_type,availability,shipping_weight,shipping,gtin,identifier_exists
59918,"Kraus Danube EuroTile Collection: Silver 19.7"" x 19.7"" Carpet Tile 7041 04","Kraus Danube EuroTile Collection: Silver 19.7"" x 19.7"" Carpet Tile 7041 04",http://23.251.155.152/kraus-danube-eurotile-collection-silver-19-7-x-19-7-carpet-tile-7041-04/kraus/catalog_59918.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.7900,"1 sq ft",Kraus,"7041 04",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59918.jpg,2826,7,"Out of Stock",,,,
59920,"Kraus Danube EuroTile Collection: Charcoal 19.7"" x 19.7"" Carpet Tile 7041 02","Kraus Danube EuroTile Collection: Charcoal 19.7"" x 19.7"" Carpet Tile 7041 02",http://23.251.155.152/kraus-danube-eurotile-collection-charcoal-19-7-x-19-7-carpet-tile-7041-02/kraus/catalog_59920.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.7900,"1 sq ft",Kraus,"7041 02",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59920.jpg,2826,7,"Out of Stock",,,,
59921,"Kraus Danube EuroTile Collection: Brown 19.7"" x 19.7"" Carpet Tile 7041 01","Kraus Danube EuroTile Collection: Brown 19.7"" x 19.7"" Carpet Tile 7041 01",http://23.251.155.152/kraus-danube-eurotile-collection-brown-19-7-x-19-7-carpet-tile-7041-01/carpet-tile/kraus/catalog_59921.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.7900,"1 sq ft",Kraus,"7041 01",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59921.jpg,2826,7,"Out of Stock",,,,
59927,"Kraus Trent EuroTile Collection: Rustic Taupe 19.7"" x 19.7"" Carpet Tile 7193 01","Kraus Trent EuroTile Collection: Rustic Taupe 19.7"" x 19.7"" Carpet Tile 7193 01",http://23.251.155.152/kraus-trent-eurotile-collection-rustic-taupe-19-7-x-19-7-carpet-tile-7193-01/kraus/catalog_59927.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.7900,"1 sq ft",Kraus,"7193 01",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59927.jpg,2826,7,"Out of Stock",,,,
59928,"Kraus Trent EuroTile Collection: Old Silver 19.7"" x 19.7"" Carpet Tile 7193 04","Kraus Trent EuroTile Collection: Old Silver 19.7"" x 19.7"" Carpet Tile 7193 04",http://23.251.155.152/kraus-trent-eurotile-collection-old-silver-19-7-x-19-7-carpet-tile-7193-04/carpet-tile/kraus/catalog_59928.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.7900,"1 sq ft",Kraus,"7193 04",New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors59928.jpg,2826,7,"Out of Stock",,,,
10418,"Tarkett Heritage: Oak Light 8mm Laminate 139385","Tarkett Heritage: Oak Light 8mm Laminate 139385",http://23.251.155.152/tarkett-heritage-oak-light-8mm-laminate-139385/tarkett/catalog_10418.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.9898,"1 sq ft",Laminate,139385,New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10418.jpg,2826,2,"Out of Stock",27.0000,,,
10419,"Tarkett Heritage: Oak Brown 8mm Laminate 138382","Tarkett Heritage: Oak Brown 8mm Laminate 138382",http://23.251.155.152/tarkett-heritage-oak-brown-8mm-laminate-138382/tarkett/catalog_10419.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.9898,"1 sq ft",Laminate,138382,New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10419.jpg,2826,2,"Out of Stock",0.0000,,,
10416,"Tarkett Heritage: Oak Rustic 8mm Laminate 140830","Tarkett Heritage: Oak Rustic 8mm Laminate 140830",http://23.251.155.152/tarkett-heritage-oak-rustic-8mm-laminate-140830/tarkett/catalog_10416.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.9898,"1 sq ft",Laminate,140830,New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10416.jpg,2826,2,"Out of Stock",27.0000,,,
10417,"Tarkett Heritage: Oak Dark 8mm Laminate 138383","Tarkett Heritage: Oak Dark 8mm Laminate 138383",http://23.251.155.152/tarkett-heritage-oak-dark-8mm-laminate-138383/tarkett/catalog_10417.htm?SID=g1jh47oor0s8htddin2mjrsjd0,1.9898,"1 sq ft",Laminate,138383,New,http://23.251.155.152/pub/media/catalog/product/h/t/httpwww1.gowebpix.comefloors10417.jpg,2826,2,"Out of Stock",27.0000,,,
10937,"Armstrong S-693 Premixed Grout Cornsilk 1 gallon bucket 0693408L12","Armstrong S-693 Premixed Grout Cornsilk 1 gallon bucket 0693408L12",http://23.251.155.152/armstrong-s-693-premixed-grout-cornsilk-1-gallon-bucket-0693408l12/armstrong-alterna/catalog_10937.htm?SID=g1jh47oor0s8htddin2mjrsjd0,59.9900,"1 sq ft",Grout,0693408L12,New,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/10937.jpg,,10,"Out of Stock",12.0000,,,
