id,sku,title,link,image_link,price,description,accessories_category,accessories_manufacturer,arearugs_colors,arearugs_manufacturer,arearugs_shape,arearugs_theme,bamboo_colors,bamboo_construction,bamboo_installation,bamboo_manufacturer,bamboo_thickness,bamboo_width,carpettile_manufacturer,category_gear,climate,clocks_finish,clocks_material,clocks_style,clocks_type,collar,cork_colors,cork_installation,cork_manufacturer,cork_thickness,cork_width,eco_collection,erin_recommends,format,glasstile_colors,glasstile_composition,glasstile_manufacturer,glasstile_tilesize,glasstile_visual,hardwood_colors,hardwood_construction,hardwood_finish,hardwood_manufacturer,hardwood_species,hardwood_thickness,hardwood_width,laminate_colors,laminate_manufacturer,laminate_thickness,laminate_visual,luxuryvinyl_colors,luxuryvinyl_installation,luxuryvinyl_manufacturer,luxuryvinyl_tilesize,luxuryvinyl_visual,new,pattern,pcategory,performance_fabric,product_type1,sale,sleeve,styles_name,vacuum_manufacture,vacuum_type,visual,pshowprice,pPopularityIndex,psell,samplesku
106,59918,Kraus Danube EuroTile Collection: Silver 19.7" x 19.7" Carpet Tile 7041 04,https://qa.efloors.com/kraus-danube-eurotile-collection-silver-19-7-x-19-7-carpet-tile-7041-04/kraus/catalog_59918.htm,https://www.gowebpix.com/efloors/59918.jpg?width=250&height=250,1.79,Kraus Danube EuroTile Collection: Silver 19.7" x 19.7" Carpet Tile 7041 04,,,,,,,,,,,,,Kraus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpet Tile,,,,,,Tile,1,46,1,
113,59927,Kraus Trent EuroTile Collection: Rustic Taupe 19.7" x 19.7" Carpet Tile 7193 01,https://qa.efloors.com/kraus-trent-eurotile-collection-rustic-taupe-19-7-x-19-7-carpet-tile-7193-01/kraus/catalog_59927.htm,https://www.gowebpix.com/efloors/59927.jpg?width=250&height=250,1.79,Kraus Trent EuroTile Collection: Rustic Taupe 19.7" x 19.7" Carpet Tile 7193 01,,,,,,,,,,,,,Kraus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpet Tile,,,Trent EuroTile Collection,,,Tile,1,2,1,
114,59928,Kraus Trent EuroTile Collection: Old Silver 19.7" x 19.7" Carpet Tile 7193 04,https://qa.efloors.com/kraus-trent-eurotile-collection-old-silver-19-7-x-19-7-carpet-tile-7193-04/carpet-tile/kraus/catalog_59928.htm,https://www.gowebpix.com/efloors/59928.jpg?width=250&height=250,1.79,Kraus Trent EuroTile Collection: Old Silver 19.7" x 19.7" Carpet Tile 7193 04,,,,,,,,,,,,,Kraus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpet Tile,,,Trent EuroTile Collection,,,Tile,1,2,1,
120,10416,Tarkett Heritage: Oak Rustic 8mm Laminate 140830,https://qa.efloors.com/tarkett-heritage-oak-rustic-8mm-laminate-140830/tarkett/catalog_10416.htm,https://www.gowebpix.com/efloors/10416.jpg?width=250&height=250,1.9898,Tarkett Heritage: Oak Rustic 8mm Laminate 140830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latte,Tarkett,8mm,Wood,,,,,,,,,,Laminate,,,Heritage,,,Tile,1,15,1,
121,10417,Tarkett Heritage: Oak Dark 8mm Laminate 138383,https://qa.efloors.com/tarkett-heritage-oak-dark-8mm-laminate-138383/tarkett/catalog_10417.htm,https://www.gowebpix.com/efloors/10417.jpg?width=250&height=250,1.9898,Tarkett Heritage: Oak Dark 8mm Laminate 138383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olive,Tarkett,8mm,Wood,,,,,,,,,,Laminate,,,Heritage,,,Tile,1,7,1,
123,10419,Tarkett Heritage: Oak Brown 8mm Laminate 138382,https://qa.efloors.com/tarkett-heritage-oak-brown-8mm-laminate-138382/tarkett/catalog_10419.htm,https://www.gowebpix.com/efloors/10419.jpg?width=250&height=250,1.9898,Tarkett Heritage: Oak Brown 8mm Laminate 138382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auburn,Tarkett,8mm,Wood,,,,,,,,,,Laminate,,,Heritage,,,Tile,1,19,1,
125,11312,Shaw Epic Bennington Maple: Route Maple 3/8" x 3 1/4" & 5" Engineered Hardwood SW511 299,https://qa.efloors.com/shaw-epic-bennington-maple-route-maple-3-8-x-3-1-4-5-engineered-hardwood-sw511-299/shaw/catalog_11312.htm,https://www.gowebpix.com/efloors/11312.jpg?width=250&height=250,4.7899,Shaw Epic Bennington Maple: Route Maple 3/8" x 3 1/4" & 5" Engineered Hardwood SW511 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cinnamon,Engineered,Traditional,Shaw,Maple,3/8",3-5",,,,,,,,,,,,,,Hardwood,,,Epic Bennington Maple,,,Tile,1,10,1,sam11312
126,11313,Shaw Epic Loveland Pass: Forest Hickory 3/8" x 5" Engineered Hardwood SW510 234,https://qa.efloors.com/shaw-epic-loveland-pass-forest-hickory-3-8-x-5-engineered-hardwood-sw510-234/shaw/catalog_11313.htm,https://www.gowebpix.com/efloors/11313.jpg?width=250&height=250,4.39,Shaw Epic Loveland Pass: Forest Hickory 3/8" x 5" Engineered Hardwood SW510 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Distressed,Shaw,Hickory,3/8",5",,,,,,,,,,,,,,Hardwood,,,Epic Loveland Pass,,,Tile,1,7,,sam11313
127,11314,Shaw Arbor Place: Summer House Hickory 3/8" x 5" Engineered Hardwood SW512 267,https://qa.efloors.com/shaw-arbor-place-summer-house-hickory-3-8-x-5-engineered-hardwood-sw512-267/shaw/catalog_11314.htm,https://www.gowebpix.com/efloors/11314.jpg?width=250&height=250,3.6901,Shaw Arbor Place: Summer House Hickory 3/8" x 5" Engineered Hardwood SW512 267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Hickory,3/8",5",,,,,,,,,,,,,,Hardwood,,,Arbor Place,,,Tile,1,6,1,sam11314
128,11315,Shaw Biscayne Bay: Surfside Birch 3/8" x 5" Engineered Hardwood SW520 460,https://qa.efloors.com/shaw-biscayne-bay-surfside-birch-3-8-x-5-engineered-hardwood-sw520-460/shaw/catalog_11315.htm,https://www.gowebpix.com/efloors/11315.jpg?width=250&height=250,3.6901,Shaw Biscayne Bay: Surfside Birch 3/8" x 5" Engineered Hardwood SW520 460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Birch,3/8",5",,,,,,,,,,,,,,Hardwood,,,Biscayne Bay,,,Tile,1,5,1,sam11315
